,model,seed,name,MCC
601,lr,0_skf_1,lr_seed_0_skf_1_paras_2_C_0.01_weight_balanced,0.265
602,lr,0_skf_2,lr_seed_0_skf_2_paras_2_C_0.01_weight_balanced,0.22699999999999998
603,lr,0_skf_3,lr_seed_0_skf_3_paras_2_C_0.01_weight_balanced,0.287
604,lr,0_skf_4,lr_seed_0_skf_4_paras_2_C_0.01_weight_balanced,0.276
605,lr,1_skf_0,lr_seed_1_skf_0_paras_2_C_0.01_weight_balanced,0.222
606,lr,1_skf_1,lr_seed_1_skf_1_paras_2_C_0.01_weight_balanced,0.233
607,lr,1_skf_2,lr_seed_1_skf_2_paras_2_C_0.01_weight_balanced,0.309
608,lr,1_skf_3,lr_seed_1_skf_3_paras_2_C_0.01_weight_balanced,0.287
609,lr,1_skf_4,lr_seed_1_skf_4_paras_2_C_0.01_weight_balanced,0.282
610,lr,2_skf_0,lr_seed_2_skf_0_paras_2_C_0.01_weight_balanced,0.299
611,lr,2_skf_1,lr_seed_2_skf_1_paras_2_C_0.01_weight_balanced,0.271
612,lr,2_skf_2,lr_seed_2_skf_2_paras_2_C_0.01_weight_balanced,0.271
613,lr,2_skf_3,lr_seed_2_skf_3_paras_2_C_0.01_weight_balanced,0.20600000000000002
614,lr,2_skf_4,lr_seed_2_skf_4_paras_2_C_0.01_weight_balanced,0.276
615,lr,3_skf_0,lr_seed_3_skf_0_paras_2_C_0.01_weight_balanced,0.304
616,lr,3_skf_1,lr_seed_3_skf_1_paras_2_C_0.01_weight_balanced,0.249
617,lr,3_skf_2,lr_seed_3_skf_2_paras_2_C_0.01_weight_balanced,0.254
618,lr,3_skf_3,lr_seed_3_skf_3_paras_2_C_0.01_weight_balanced,0.251
620,lr,4_skf_0,lr_seed_4_skf_0_paras_2_C_0.01_weight_balanced,0.271
621,lr,4_skf_1,lr_seed_4_skf_1_paras_2_C_0.01_weight_balanced,0.217
622,lr,4_skf_2,lr_seed_4_skf_2_paras_2_C_0.01_weight_balanced,0.276
