,model,seed,name,MCC
93,knn,18_skf_3,knn_seed_18_skf_3_paras_0_K_7,0.165
94,knn,18_skf_4,knn_seed_18_skf_4_paras_0_K_7,0.186
96,knn,19_skf_1,knn_seed_19_skf_1_paras_0_K_7,0.247
97,knn,19_skf_2,knn_seed_19_skf_2_paras_0_K_7,0.204
98,knn,19_skf_3,knn_seed_19_skf_3_paras_0_K_7,0.2
0,lr,0_skf_0,lr_seed_0_skf_0_paras_0_C_0.1_weight_balanced,0.19
1,lr,0_skf_1,lr_seed_0_skf_1_paras_0_C_0.1_weight_balanced,0.166
2,lr,0_skf_2,lr_seed_0_skf_2_paras_0_C_0.1_weight_balanced,0.219
3,lr,0_skf_3,lr_seed_0_skf_3_paras_0_C_0.1_weight_balanced,0.231
4,lr,0_skf_4,lr_seed_0_skf_4_paras_0_C_0.1_weight_balanced,0.231
5,lr,1_skf_0,lr_seed_1_skf_0_paras_0_C_0.1_weight_balanced,0.231
6,lr,1_skf_1,lr_seed_1_skf_1_paras_0_C_0.1_weight_balanced,0.191
7,lr,1_skf_2,lr_seed_1_skf_2_paras_0_C_0.1_weight_balanced,0.247
8,lr,1_skf_3,lr_seed_1_skf_3_paras_0_C_0.1_weight_balanced,0.198
9,lr,1_skf_4,lr_seed_1_skf_4_paras_0_C_0.1_weight_balanced,0.243
10,lr,2_skf_0,lr_seed_2_skf_0_paras_0_C_0.1_weight_balanced,0.174
11,lr,2_skf_1,lr_seed_2_skf_1_paras_0_C_0.1_weight_balanced,0.275
12,lr,2_skf_2,lr_seed_2_skf_2_paras_0_C_0.1_weight_balanced,0.166
13,lr,2_skf_3,lr_seed_2_skf_3_paras_0_C_0.1_weight_balanced,0.231
14,lr,2_skf_4,lr_seed_2_skf_4_paras_0_C_0.1_weight_balanced,0.239
15,lr,3_skf_0,lr_seed_3_skf_0_paras_0_C_0.1_weight_balanced,0.17
16,lr,3_skf_1,lr_seed_3_skf_1_paras_0_C_0.1_weight_balanced,0.255
17,lr,3_skf_2,lr_seed_3_skf_2_paras_0_C_0.1_weight_balanced,0.251
18,lr,3_skf_3,lr_seed_3_skf_3_paras_0_C_0.1_weight_balanced,0.243
19,lr,3_skf_4,lr_seed_3_skf_4_paras_0_C_0.1_weight_balanced,0.202
20,lr,4_skf_0,lr_seed_4_skf_0_paras_0_C_0.1_weight_balanced,0.203
21,lr,4_skf_1,lr_seed_4_skf_1_paras_0_C_0.1_weight_balanced,0.235
22,lr,4_skf_2,lr_seed_4_skf_2_paras_0_C_0.1_weight_balanced,0.227
23,lr,4_skf_3,lr_seed_4_skf_3_paras_0_C_0.1_weight_balanced,0.186
24,lr,4_skf_4,lr_seed_4_skf_4_paras_0_C_0.1_weight_balanced,0.243
25,lr,5_skf_0,lr_seed_5_skf_0_paras_0_C_0.1_weight_balanced,0.194
26,lr,5_skf_1,lr_seed_5_skf_1_paras_0_C_0.1_weight_balanced,0.227
27,lr,5_skf_2,lr_seed_5_skf_2_paras_0_C_0.1_weight_balanced,0.219
28,lr,5_skf_3,lr_seed_5_skf_3_paras_0_C_0.1_weight_balanced,0.227
29,lr,5_skf_4,lr_seed_5_skf_4_paras_0_C_0.1_weight_balanced,0.235
30,lr,6_skf_0,lr_seed_6_skf_0_paras_0_C_0.1_weight_balanced,0.251
31,lr,6_skf_1,lr_seed_6_skf_1_paras_0_C_0.1_weight_balanced,0.214
32,lr,6_skf_2,lr_seed_6_skf_2_paras_0_C_0.1_weight_balanced,0.215
33,lr,6_skf_3,lr_seed_6_skf_3_paras_0_C_0.1_weight_balanced,0.214
34,lr,6_skf_4,lr_seed_6_skf_4_paras_0_C_0.1_weight_balanced,0.223
35,lr,7_skf_0,lr_seed_7_skf_0_paras_0_C_0.1_weight_balanced,0.166
36,lr,7_skf_1,lr_seed_7_skf_1_paras_0_C_0.1_weight_balanced,0.17
37,lr,7_skf_2,lr_seed_7_skf_2_paras_0_C_0.1_weight_balanced,0.259
38,lr,7_skf_3,lr_seed_7_skf_3_paras_0_C_0.1_weight_balanced,0.227
39,lr,7_skf_4,lr_seed_7_skf_4_paras_0_C_0.1_weight_balanced,0.174
40,lr,8_skf_0,lr_seed_8_skf_0_paras_0_C_0.1_weight_balanced,0.162
41,lr,8_skf_1,lr_seed_8_skf_1_paras_0_C_0.1_weight_balanced,0.195
42,lr,8_skf_2,lr_seed_8_skf_2_paras_0_C_0.1_weight_balanced,0.178
43,lr,8_skf_3,lr_seed_8_skf_3_paras_0_C_0.1_weight_balanced,0.255
45,lr,9_skf_0,lr_seed_9_skf_0_paras_0_C_0.1_weight_balanced,0.186
46,lr,9_skf_1,lr_seed_9_skf_1_paras_0_C_0.1_weight_balanced,0.267
47,lr,9_skf_2,lr_seed_9_skf_2_paras_0_C_0.1_weight_balanced,0.21
48,lr,9_skf_3,lr_seed_9_skf_3_paras_0_C_0.1_weight_balanced,0.223
49,lr,9_skf_4,lr_seed_9_skf_4_paras_0_C_0.1_weight_balanced,0.178
50,lr,10_skf_0,lr_seed_10_skf_0_paras_0_C_0.1_weight_balanced,0.235
51,lr,10_skf_1,lr_seed_10_skf_1_paras_0_C_0.1_weight_balanced,0.215
52,lr,10_skf_2,lr_seed_10_skf_2_paras_0_C_0.1_weight_balanced,0.219
53,lr,10_skf_3,lr_seed_10_skf_3_paras_0_C_0.1_weight_balanced,0.206
54,lr,10_skf_4,lr_seed_10_skf_4_paras_0_C_0.1_weight_balanced,0.182
55,lr,11_skf_0,lr_seed_11_skf_0_paras_0_C_0.1_weight_balanced,0.231
56,lr,11_skf_1,lr_seed_11_skf_1_paras_0_C_0.1_weight_balanced,0.235
57,lr,11_skf_2,lr_seed_11_skf_2_paras_0_C_0.1_weight_balanced,0.198
58,lr,11_skf_3,lr_seed_11_skf_3_paras_0_C_0.1_weight_balanced,0.194
59,lr,11_skf_4,lr_seed_11_skf_4_paras_0_C_0.1_weight_balanced,0.198
60,lr,12_skf_0,lr_seed_12_skf_0_paras_0_C_0.1_weight_balanced,0.198
61,lr,12_skf_1,lr_seed_12_skf_1_paras_0_C_0.1_weight_balanced,0.235
62,lr,12_skf_2,lr_seed_12_skf_2_paras_0_C_0.1_weight_balanced,0.194
63,lr,12_skf_3,lr_seed_12_skf_3_paras_0_C_0.1_weight_balanced,0.203
64,lr,12_skf_4,lr_seed_12_skf_4_paras_0_C_0.1_weight_balanced,0.253
65,lr,13_skf_0,lr_seed_13_skf_0_paras_0_C_0.1_weight_balanced,0.194
66,lr,13_skf_1,lr_seed_13_skf_1_paras_0_C_0.1_weight_balanced,0.162
68,lr,13_skf_3,lr_seed_13_skf_3_paras_0_C_0.1_weight_balanced,0.219
69,lr,13_skf_4,lr_seed_13_skf_4_paras_0_C_0.1_weight_balanced,0.194
70,lr,14_skf_0,lr_seed_14_skf_0_paras_0_C_0.1_weight_balanced,0.17
72,lr,14_skf_2,lr_seed_14_skf_2_paras_0_C_0.1_weight_balanced,0.202
73,lr,14_skf_3,lr_seed_14_skf_3_paras_0_C_0.1_weight_balanced,0.206
74,lr,14_skf_4,lr_seed_14_skf_4_paras_0_C_0.1_weight_balanced,0.219
75,lr,15_skf_0,lr_seed_15_skf_0_paras_0_C_0.1_weight_balanced,0.178
76,lr,15_skf_1,lr_seed_15_skf_1_paras_0_C_0.1_weight_balanced,0.255
77,lr,15_skf_2,lr_seed_15_skf_2_paras_0_C_0.1_weight_balanced,0.215
78,lr,15_skf_3,lr_seed_15_skf_3_paras_0_C_0.1_weight_balanced,0.255
79,lr,15_skf_4,lr_seed_15_skf_4_paras_0_C_0.1_weight_balanced,0.207
80,lr,16_skf_0,lr_seed_16_skf_0_paras_0_C_0.1_weight_balanced,0.19
81,lr,16_skf_1,lr_seed_16_skf_1_paras_0_C_0.1_weight_balanced,0.186
82,lr,16_skf_2,lr_seed_16_skf_2_paras_0_C_0.1_weight_balanced,0.203
83,lr,16_skf_3,lr_seed_16_skf_3_paras_0_C_0.1_weight_balanced,0.235
