,model,seed,name,MCC
187,knn,17_skf_2,knn_seed_17_skf_2_paras_0_K_3,0.157
188,knn,17_skf_3,knn_seed_17_skf_3_paras_0_K_3,0.19699999999999998
191,knn,18_skf_1,knn_seed_18_skf_1_paras_0_K_3,0.14300000000000002
192,knn,18_skf_2,knn_seed_18_skf_2_paras_0_K_3,0.233
193,knn,18_skf_3,knn_seed_18_skf_3_paras_0_K_3,0.237
194,knn,18_skf_4,knn_seed_18_skf_4_paras_0_K_3,0.193
196,knn,19_skf_1,knn_seed_19_skf_1_paras_0_K_3,0.177
197,knn,19_skf_2,knn_seed_19_skf_2_paras_0_K_3,0.214
199,knn,19_skf_4,knn_seed_19_skf_4_paras_0_K_3,0.221
100,lr,0_skf_0,lr_seed_0_skf_0_paras_6_C_1_weight_balanced,0.212
101,lr,0_skf_1,lr_seed_0_skf_1_paras_6_C_1_weight_balanced,0.153
102,lr,0_skf_2,lr_seed_0_skf_2_paras_6_C_1_weight_balanced,0.162
103,lr,0_skf_3,lr_seed_0_skf_3_paras_6_C_1_weight_balanced,0.18
104,lr,0_skf_4,lr_seed_0_skf_4_paras_6_C_1_weight_balanced,0.239
105,lr,1_skf_0,lr_seed_1_skf_0_paras_6_C_1_weight_balanced,0.174
106,lr,1_skf_1,lr_seed_1_skf_1_paras_6_C_1_weight_balanced,0.195
107,lr,1_skf_2,lr_seed_1_skf_2_paras_6_C_1_weight_balanced,0.185
108,lr,1_skf_3,lr_seed_1_skf_3_paras_6_C_1_weight_balanced,0.239
109,lr,1_skf_4,lr_seed_1_skf_4_paras_6_C_1_weight_balanced,0.191
110,lr,2_skf_0,lr_seed_2_skf_0_paras_6_C_1_weight_balanced,0.146
111,lr,2_skf_1,lr_seed_2_skf_1_paras_6_C_1_weight_balanced,0.135
112,lr,2_skf_2,lr_seed_2_skf_2_paras_6_C_1_weight_balanced,0.13
114,lr,2_skf_4,lr_seed_2_skf_4_paras_6_C_1_weight_balanced,0.249
115,lr,3_skf_0,lr_seed_3_skf_0_paras_6_C_1_weight_balanced,0.22699999999999998
116,lr,3_skf_1,lr_seed_3_skf_1_paras_6_C_1_weight_balanced,0.13
117,lr,3_skf_2,lr_seed_3_skf_2_paras_6_C_1_weight_balanced,0.185
118,lr,3_skf_3,lr_seed_3_skf_3_paras_6_C_1_weight_balanced,0.242
119,lr,3_skf_4,lr_seed_3_skf_4_paras_6_C_1_weight_balanced,0.141
120,lr,4_skf_0,lr_seed_4_skf_0_paras_6_C_1_weight_balanced,0.278
121,lr,4_skf_1,lr_seed_4_skf_1_paras_6_C_1_weight_balanced,0.212
123,lr,4_skf_3,lr_seed_4_skf_3_paras_6_C_1_weight_balanced,0.168
124,lr,4_skf_4,lr_seed_4_skf_4_paras_6_C_1_weight_balanced,0.17300000000000001
125,lr,5_skf_0,lr_seed_5_skf_0_paras_6_C_1_weight_balanced,0.13
126,lr,5_skf_1,lr_seed_5_skf_1_paras_6_C_1_weight_balanced,0.158
127,lr,5_skf_2,lr_seed_5_skf_2_paras_6_C_1_weight_balanced,0.23
128,lr,5_skf_3,lr_seed_5_skf_3_paras_6_C_1_weight_balanced,0.141
129,lr,5_skf_4,lr_seed_5_skf_4_paras_6_C_1_weight_balanced,0.212
130,lr,6_skf_0,lr_seed_6_skf_0_paras_6_C_1_weight_balanced,0.125
131,lr,6_skf_1,lr_seed_6_skf_1_paras_6_C_1_weight_balanced,0.16399999999999998
132,lr,6_skf_2,lr_seed_6_skf_2_paras_6_C_1_weight_balanced,0.185
133,lr,6_skf_3,lr_seed_6_skf_3_paras_6_C_1_weight_balanced,0.11900000000000001
134,lr,6_skf_4,lr_seed_6_skf_4_paras_6_C_1_weight_balanced,0.242
135,lr,7_skf_0,lr_seed_7_skf_0_paras_6_C_1_weight_balanced,0.141
136,lr,7_skf_1,lr_seed_7_skf_1_paras_6_C_1_weight_balanced,0.249
137,lr,7_skf_2,lr_seed_7_skf_2_paras_6_C_1_weight_balanced,0.163
138,lr,7_skf_3,lr_seed_7_skf_3_paras_6_C_1_weight_balanced,0.158
